Employee ID,Firstname,Lastname,Othernames,Email,Contact Number,Blood Group,Residence,Date of Birth,Date of Employment,Gender,Section,Department,Description,Religion,City,Courses Taught,User Type,Employer,Occupation
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,USER TYPES
,,,,,,,,,,,,,,,,,,,,,,,Teacher
,,,,,,,,,,,,,,,,,,,,,,,Employee
,,,,,,,,,,,,,,,,,,,,,,,Accountant
,,,,,,,,,,,,,,,,,,,,,,,Admin
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,DEPARTMENT NAME,,,,DEPARTMENT CODE
,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,
,,,,,,,,,,,,,,,,,,,,,,,First Department Name,,,,
,,,,,,,,,,,,,,,,,,,,,,,Green,,,,
,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
,,,,,,,,,,,,,,,,,,,,,,,Pink,,,,DEPA
,,,,,,,,,,,,,,,,,,,,,,,O- Edited,,,,
,,,,,,,,,,,,,,,,,,,,,,,Test Section Modified,,,,
,,,,,,,,,,,,,,,,,,,,,,,Final test section,,,,
,,,,,,,,,,,,,,,,,,,,,,,Adding a new department,,,,
,,,,,,,,,,,,,,,,,,,,,,,this is the department na,,,,ANANOA
