Student ID,Firstname,Lastname,Othernames,Email,Contact Number,Blood Group,Residence,Date of Birth,Admission Date,Gender,Section,Department,Class,Description,Religion,City,Previous School,Previous School Qualification,Previous School Remarks
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,DEPARTMENT NAME,,,,DEPARTMENT CODE
,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,
,,,,,,,,,,,,,,,,,,,,,,,First Department Name,,,,
,,,,,,,,,,,,,,,,,,,,,,,Green,,,,
,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,
,,,,,,,,,,,,,,,,,,,,,,,Pink,,,,DEPA
,,,,,,,,,,,,,,,,,,,,,,,O- Edited,,,,
,,,,,,,,,,,,,,,,,,,,,,,Test Section Modified,,,,
,,,,,,,,,,,,,,,,,,,,,,,Final test section,,,,
,,,,,,,,,,,,,,,,,,,,,,,Adding a new department,,,,
,,,,,,,,,,,,,,,,,,,,,,,this is the department na,,,,ANANOA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
